,unique_intersection_id,INTERSECTIONID,FULLINTERSECTION,LONGITUDE,LATITUDE,all_dropoffs,all_pickups,morning_dropoffs,morning_pickups,late_morning_dropoffs,late_morning_pickups,afternoon_dropoffs,afternoon_pickups,evening_dropoffs,evening_pickups,late_evening_dropoffs,late_evening_pickups,cluster_id
759,6765,16558,NEW JERSEY AVENUE NW AND CONSTITUTION AVENUE NW//CONSTITUTION AVENUE NW AND NEW JERSEY AVENUE NW,-77.00999372,38.8920801,2063,1482,260,67,572,443,700,531,398,355,133,86,1155
760,2283,13088,INDEPENDENCE AVENUE SW AND WASHINGTON AVENUE SW//WASHINGTON AVENUE SW AND INDEPENDENCE AVENUE SW,-77.01380671,38.88756245,1734,1477,125,25,527,395,794,680,252,359,36,18,5500
761,4277,14745,P STREET NE AND P STREET NW//P STREET NE AND NORTH CAPITOL STREET//P STREET NW AND NORTH CAPITOL STREET//NORTH CAPITOL STREET AND P STREET NE//NORTH CAPITOL STREET AND P STREET NW//P STREET NW AND P STREET NE,-77.00905107,38.90963861,1493,1472,183,285,257,240,386,311,514,481,153,155,4277
762,607,17662,MOUNT PLEASANT STREET NW AND KENYON STREET NW//KENYON STREET NW AND MOUNT PLEASANT STREET NW,-77.03782234,38.92991952,1593,1470,93,167,243,231,347,326,552,454,358,292,5863
763,1938,16157,MASSACHUSETTS AVENUE NW AND CORREGIDOR STREET NW//CORREGIDOR STREET NW AND MASSACHUSETTS AVENUE NW,-77.03543047,38.90685814,1355,1470,148,169,184,215,303,303,503,540,217,243,2413
764,4164,16682,I STREET NW AND NEW HAMPSHIRE AVENUE NW//NEW HAMPSHIRE AVENUE NW AND I STREET NW,-77.05183109,38.90069179,1773,1461,124,206,216,196,435,297,677,518,321,244,555
765,545,15993,16TH STREET NW AND V STREET NW//V STREET NW AND 16TH STREET NW,-77.03650003,38.91811436,1839,1459,100,189,223,184,332,231,759,499,425,356,2054
766,2656,19973,5TH STREET NW AND G PLACE NW//G PLACE NW AND 5TH STREET NW,-77.01892815,38.89905296,1550,1454,119,110,234,235,379,348,554,456,264,305,3900
767,1825,129,HARVARD STREET NW AND ADAMS MILL ROAD NW//ADAMS MILL ROAD NW AND HARVARD STREET NW,-77.04336808,38.92796919,1607,1454,157,41,582,363,597,675,209,317,62,58,8381
768,4751,14895,HALF STREET SE AND L STREET SE//L STREET SE AND HALF STREET SE,-77.00745570000002,38.87752508,1625,1452,136,188,262,201,371,313,611,473,245,277,4557
769,5835,13258,23RD STREET NW AND WASHINGTON CIRCLE NW//WASHINGTON CIRCLE NW AND 23RD STREET NW,-77.05021515,38.90305821,1246,1452,166,141,267,421,339,376,378,384,96,130,5835
770,304,15183,PROSPECT STREET NW AND 35TH STREET NW//35TH STREET NW AND PROSPECT STREET NW,-77.06898069,38.90589764,1677,1452,129,108,375,302,442,343,503,464,228,235,2634
771,502,14272,BARRY PLACE NW AND SHERMAN AVENUE NW//SHERMAN AVENUE NW AND BARRY PLACE NW,-77.02522021,38.92067056,1720,1450,98,146,207,165,381,335,655,480,379,324,93
772,5610,12953,15TH STREET NW AND V STREET NW//V STREET NW AND 15TH STREET NW,-77.03453029,38.91811307,1998,1450,147,263,235,193,396,282,804,435,416,277,2054
773,4234,15086,40TH STREET NW AND ALBEMARLE STREET NW//ALBEMARLE STREET NW AND 40TH STREET NW,-77.07875345,38.94790237,776,1449,101,245,173,332,230,439,182,290,90,143,6694
774,3242,16091,3RD STREET NE AND MASSACHUSETTS AVENUE NE//MASSACHUSETTS AVENUE NE AND 3RD STREET NE,-77.00203572,38.89460609,1553,1448,275,137,242,247,332,314,489,535,215,215,1731
775,3919,15593,15TH STREET NW AND 15TH STREET SW//15TH STREET SW AND 15TH STREET NW,-77.03287149,38.88948816,1683,1444,141,141,379,303,607,488,376,369,180,143,2165
776,1814,16404,18TH STREET NW AND FLORIDA AVENUE NW//FLORIDA AVENUE NW AND 18TH STREET NW,-77.04165612,38.91678062,2074,1443,83,68,277,182,395,266,832,496,487,431,1204
777,189,12978,10TH STREET NW AND G PLACE NW//G PLACE NW AND 10TH STREET NW,-77.02598631,38.89905236,1734,1440,341,79,350,278,408,416,474,478,161,189,8076
778,2481,17413,ELLIPSE ROAD NW AND E STREET NW//E STREET NW AND ELLIPSE ROAD NW,-77.03684416,38.89519705,1894,1439,54,25,431,265,642,504,594,474,173,171,136
779,6824,13596,13TH STREET NW AND W STREET NW//W STREET NW AND 13TH STREET NW,-77.0296194,38.91918217,2054,1437,285,154,289,215,405,302,717,479,358,287,2028
780,5989,16129,4TH STREET SE AND EAST CAPITOL STREET//4TH STREET NE AND EAST CAPITOL STREET//4TH STREET NE AND 4TH STREET SE//EAST CAPITOL STREET AND 4TH STREET SE//EAST CAPITOL STREET AND 4TH STREET NE//4TH STREET SE AND 4TH STREET NE,-77.00057932,38.88980798,1583,1436,103,175,275,221,374,313,610,520,221,207,5989
