,cluster_ids,c_len,all_c_pickups,all_c_dropoffs,all_phhi,all_dhhi,all_hhi_ratio,morning_c_pickups,morning_c_dropoffs,morning_phhi,morning_dhhi,morning_hhi_ratio,late_morning_c_pickups,late_morning_c_dropoffs,late_morning_phhi,late_morning_dhhi,late_morning_hhi_ratio,afternoon_c_pickups,afternoon_c_dropoffs,afternoon_phhi,afternoon_dhhi,afternoon_hhi_ratio,evening_c_pickups,evening_c_dropoffs,evening_phhi,evening_dhhi,evening_hhi_ratio,late_evening_c_pickups,late_evening_c_dropoffs,late_evening_phhi,late_evening_dhhi,late_evening_hhi_ratio
153,916,3,4635,4974,4211.886716263502,3951.944562872898,1.0657757590611638,524,535,4568.425499679506,4318.316010131888,1.0579182924456656,794,850,5187.489293124123,4207.031141868511,1.2330522684983385,981,1123,4671.105749297821,4036.0423081223253,1.1573480634475668,1571,1667,3862.5411814471477,3787.5604243278513,1.0197965837423182,765,799,3840.6254004869916,3841.3630304463813,0.9998079770244199
154,7529,4,3999,3071,4347.404055314904,3807.485303054032,1.1418045532120102,522,856,4847.991074705303,4904.167394532274,0.9885451871219562,868,617,3702.0323217736627,2962.7070916154657,1.249543814928754,1083,603,4402.863357061068,3405.9938010335272,1.2926809660443443,1193,757,4854.660006787286,4232.604890681251,1.1469674425495249,333,238,3857.641425208993,3709.1307111079723,1.0400392236532043
155,4795,5,5475,4555,3082.8865119576317,2670.1524602944132,1.154573215500103,508,616,3786.7350734701467,2886.184432450666,1.3120211691582098,1315,1068,3189.8740765371776,2651.9519140400344,1.202840089086556,1685,1320,2964.6716973822085,2689.4168962350786,1.1023473904445458,1383,1069,2974.5400323837275,2661.422642179773,1.11765038188279,584,482,3086.7071683242643,2921.1790430605533,1.05666483389881
156,2205,5,5448,5283,2842.332176487458,2735.6347735043055,1.0390027952622034,564,1791,2821.0351591972235,3109.0529263976064,0.9073615747242673,1422,1170,2954.2096174046183,2673.2120680838634,1.1051160709154555,1693,1329,2997.963540501889,2654.252732214913,1.129494378630688,1552,768,2639.128759698161,2514.716254340278,1.0494737746825922,217,225,3516.107795875895,2922.864197530864,1.2029665281220328
157,5449,2,3036,4061,6575.0910028277285,6348.519357076196,1.0356888957893766,133,215,5793.996268867658,5608.436992969173,1.0330857378144935,596,835,6646.37854150714,6771.372225608664,0.9815408635152546,1006,1362,6494.512052930923,6283.257971239496,1.0336217425193117,952,1213,6754.907845491139,6353.029049816871,1.0632578243422093,349,436,6560.947775469824,6227.169430182645,1.0536003314233557
158,3918,4,4032,4697,4096.381970033384,3794.5696112227247,1.0795379686586923,174,190,5482.23014929317,4638.781163434902,1.1818255606681207,784,918,4922.070231153686,4317.451502508532,1.1400406532172642,1286,1595,4214.9092149213075,3827.0496555654913,1.1013468844836574,1280,1437,3767.76123046875,3419.697825972206,1.1017819182306234,508,557,3336.304172608345,3843.8480059565063,0.8679594425789832
159,7822,2,2936,3294,6660.575473869432,6723.597097849339,0.9906267994552997,225,178,6306.172839506173,6278.24769599798,1.0044479200025818,484,549,6442.8659244587125,6667.0316289594275,0.9663769849947896,773,981,6568.869460729103,6410.286784273262,1.024738780306195,917,1012,6663.959214593127,6642.347169929229,1.0032536758635169,537,574,7185.134324424609,7754.009396739063,0.926634719767854
160,405,3,5629,5745,3424.999039785877,3397.8853220077845,1.0079795858919898,362,927,3817.496413418394,3380.835512359062,1.1291576888207262,1331,1402,3434.5585616301105,3451.0206531936237,0.9952297904829173,1859,1880,3459.2713117147264,3430.562471706654,1.0083685518759231,1721,1169,3451.100177220857,3464.909360065156,0.9960145615918683,356,367,3565.6798384042418,3417.1313173310364,1.0434717039757284
161,2524,3,5953,6456,3395.244099384368,3368.8170730396514,1.0078446011676352,572,1093,3482.2607462467604,3522.5995250487804,0.9885485765511589,1492,1706,3372.9039236967133,3405.5447362525747,0.9904153916381145,1822,1674,3391.7083674229234,3355.1941350530788,1.0108828970545596,1405,1333,3520.4062765162553,3580.2855440041553,0.983275281607586,662,650,3721.260302479897,3681.088757396449,1.0109129520451607
162,2667,12,13384,13955,1106.1987906802922,1010.8999842227172,1.0942712513056871,1734,873,1072.9636857796245,1031.9381626994905,1.0397557959992618,2136,2110,1121.8727643816019,1026.733451629568,1.0926621340729035,2772,3109,1149.8722537683577,1000.963078275017,1.148765902284787,4044,4938,1172.7598787227737,1033.7869615635664,1.134430905327937,2698,2925,1178.2771852526732,1094.8153992256557,1.0762336610227154
163,6891,12,10494,11623,1109.0287319291492,1079.9195426175772,1.0269549611455455,2203,902,1079.197289875627,1095.3977610729542,0.985210421480633,1472,1467,1100.5527085302456,1034.6644585795477,1.0636807898486755,1743,2338,1116.5553945969932,1106.3062680699948,1.0092642759268449,3049,4607,1212.0120463822502,1092.1937243223604,1.1097042762576115,2027,2309,1213.6672922453636,1129.4629015840062,1.0745525953471031
164,1731,8,10783,11984,1470.6495842731074,1427.5758588219985,1.0301726350897054,1224,2518,1426.6815113845103,1622.8066578301048,0.8791444775634343,2181,2244,1535.1685737416701,1541.790188770371,0.9957052424662386,2625,2736,1525.3609070294785,1507.6353621627165,1.0117571830109733,3571,3286,1556.4684900244597,1535.2281150708905,1.0138353217642764,1182,1200,1691.6179236774976,1524.4305555555554,1.109672013272532
